date,close,volume,total_bids,cover_ratio
2019-04-04,23.65,2495000,4015500,1.609
2019-04-05,24.17,3209000,5076500,1.582
2019-04-08,24.07,2495000,5133500,2.058
2019-04-09,25.2,2495000,6585000,2.639
2019-04-10,26.21,4428500,6978000,1.576
2019-04-11,25.88,2495000,4638500,1.859
2019-04-12,26.72,3209000,4489500,1.399
2019-04-15,27.0,2495000,5638000,2.26
2019-04-16,26.8,2495000,6063000,2.43
2019-04-18,26.92,2495000,4867000,1.951
2019-04-23,27.17,2495000,4636000,1.858
2019-04-24,27.02,4428500,6547000,1.478
2019-04-25,27.46,2495000,5007000,2.007
2019-04-26,26.79,3209000,4462500,1.391
2019-04-29,25.81,2495000,3061500,1.227
2019-04-30,25.85,2495000,5831500,2.337
2019-05-02,25.04,2495000,4919000,1.972
2019-05-03,24.32,3209000,5766500,1.797
2019-05-07,25.65,2495000,4227000,1.694
2019-05-08,25.82,4428500,9347000,2.111
2019-05-09,26.81,2495000,4863500,1.949
2019-05-10,26.35,3209000,5234000,1.631
2019-05-13,25.25,2495000,4412500,1.769
2019-05-14,25.03,2495000,4750500,1.904
2019-05-16,25.81,2495000,4058500,1.627
2019-05-17,25.01,3209000,5467000,1.704
2019-05-20,24.91,2495000,6123000,2.454
2019-05-21,25.01,2495000,5328000,2.135
2019-05-22,25.4,4428500,9305500,2.101
2019-05-23,26.05,2495000,4540500,1.82
2019-05-24,25.61,3209000,5282000,1.646
2019-05-28,25.3,2495000,5199000,2.084
2019-06-03,23.96,2775500,4395000,1.583
2019-06-04,23.86,2775500,4441500,1.6
2019-06-05,24.42,4428500,7045000,1.591
2019-06-06,24.07,2775500,5185000,1.868
2019-06-07,24.24,3209000,5409500,1.686
2019-06-11,25.12,2775500,5303500,1.911
2019-06-13,24.92,2775500,4827500,1.739
2019-06-14,24.67,3209000,4763500,1.484
2019-06-17,24.78,2775500,4214000,1.518
2019-06-18,24.98,2775500,5587000,2.013
2019-06-19,24.98,4428500,7328000,1.655
2019-06-20,24.86,2775500,5346500,1.926
2019-06-21,24.87,3209000,5400500,1.683
2019-06-24,25.64,2775500,4500000,1.621
2019-06-27,27.1,3469000,8037500,2.317
2019-06-28,26.4,3209000,7318000,2.28
2019-07-01,26.72,3469000,7253500,2.091
2019-07-02,27.22,3469000,8486500,2.446
2019-07-03,26.33,4428500,7821500,1.766
2019-07-04,26.22,3470500,7123500,2.053
2019-07-05,25.84,3209000,7334500,2.286
2019-07-08,26.6,2775500,5459500,1.967
2019-07-09,26.68,2775500,7321500,2.638
2019-07-11,28.5,2775500,8744500,3.151
2019-07-12,28.25,3209000,8064500,2.513
2019-07-15,29.15,2775500,5191500,1.87
2019-07-16,29.1,2775000,4029500,1.452
2019-07-17,27.97,4428500,5934000,1.34
2019-07-18,27.99,2775000,4471500,1.611
2019-07-19,28.15,3209000,6461000,2.013
2019-07-22,28.96,2775000,3675500,1.325
2019-07-23,29.05,2775000,7307000,2.633
2019-07-25,29.46,2775000,6613000,2.383
2019-07-26,28.51,3209000,5547000,1.729
2019-07-29,28.8,2775000,5290000,1.906
2019-07-30,28.18,2775000,5881500,2.119
2019-07-31,28.04,4428500,8722500,1.97
2019-08-01,28.9,1387500,4658500,3.357
2019-08-02,29.1,1604500,4604000,2.869
2019-08-05,28.82,1387500,3622500,2.611
2019-08-06,28.48,1387500,4948500,3.566
2019-08-08,28.68,1387500,4059500,2.926
2019-08-09,28.37,1604500,3705500,2.309
2019-08-12,27.7,1387500,4130000,2.977
2019-08-13,27.1,1387500,3944500,2.843
2019-08-14,27.15,2214500,3709500,1.675
2019-08-15,26.41,1387500,2806500,2.023
2019-08-16,26.12,1604500,4579000,2.854
2019-08-19,26.25,1387500,4065500,2.93
2019-08-20,26.94,1387500,3437000,2.477
2019-08-22,25.78,1387500,3994500,2.879
2019-08-23,25.33,1604500,2953000,1.84
2019-08-27,25.25,1387500,2835500,2.044
2019-08-28,26.0,2214500,4482500,2.024
2019-08-29,25.93,1505500,3087000,2.05
2019-08-30,26.8,1604500,3501000,2.182
2019-09-02,25.4,2744500,4761500,1.735
2019-09-03,24.82,2744500,5576500,2.032
2019-09-06,25.46,2834500,8087500,2.853
2019-09-09,25.01,2744500,5471500,1.994
2019-09-10,25.5,2744500,4993500,1.819
2019-09-11,26.68,4714500,6153500,1.305
2019-09-12,26.55,2744500,5089500,1.854
2019-09-13,26.22,2834500,5116000,1.805
2019-09-16,26.58,2744500,4616500,1.682
2019-09-17,26.75,2744500,5769500,2.102
2019-09-19,25.56,2744500,5937000,2.163
2019-09-20,26.17,2834500,3900000,1.376
2019-09-23,25.93,2744500,4532000,1.651
2019-09-24,25.59,2744500,4897500,1.784
2019-09-25,25.17,4714500,7782000,1.651
2019-09-26,25.21,2744500,4737500,1.726
2019-09-27,25.3,2834500,4796500,1.692
2019-09-30,25.03,2744500,4298500,1.566
2019-10-01,24.4,2744500,3986000,1.452
2019-10-03,24.03,2744500,6749500,2.459
2019-10-04,23.41,2834500,4171500,1.472
2019-10-07,22.77,2744500,4780000,1.742
2019-10-08,23.37,2744500,5633500,2.053
2019-10-09,22.16,4714500,8219000,1.743
2019-10-10,22.83,2744500,5672000,2.067
2019-10-11,23.62,2834500,4516500,1.593
2019-10-14,23.82,2744500,4946500,1.802
2019-10-15,24.48,2744500,4501000,1.64
2019-10-17,25.96,2744500,6533000,2.38
2019-10-18,25.64,2834500,4343000,1.532
2019-10-21,25.9,2744500,3878500,1.413
2019-10-22,25.7,2744500,6301500,2.296
2019-10-23,25.09,4714500,7667000,1.626
2019-10-24,24.61,2744500,4239500,1.545
2019-10-25,24.86,2834500,4146000,1.463
2019-10-28,24.68,2744000,4270500,1.556
2019-10-29,25.4,2744000,5253500,1.915
2019-10-31,25.95,2744000,4333500,1.579
2019-11-01,25.71,2834500,5144000,1.815
2019-11-04,24.93,2744000,4806500,1.752
2019-11-05,25.8,2744000,4482500,1.634
2019-11-06,25.1,4714500,8190500,1.737
2019-11-07,24.86,2744000,5027500,1.832
2019-11-08,24.62,2834500,6297500,2.222
2019-11-11,25.21,2744000,4884500,1.78
2019-11-12,24.95,2744000,4525000,1.649
2019-11-14,24.28,2744000,5342500,1.947
2019-11-15,23.41,2834500,4691000,1.655
2019-11-18,23.41,2744000,5689000,2.073
2019-11-19,23.62,2744000,5216000,1.901
2019-11-20,23.34,4714500,8406000,1.783
2019-11-21,23.96,2744000,4156500,1.515
2019-11-22,24.32,2834500,4141500,1.461
2019-11-25,24.52,2744000,4337500,1.581
2019-11-26,24.29,2744000,4322000,1.575
2019-11-28,24.91,2744000,3432000,1.251
2019-11-29,25.03,2834500,4833500,1.705
2019-12-02,24.62,2744000,4298500,1.567
2019-12-03,24.41,2744000,4858000,1.77
2019-12-04,24.1,4717500,9654000,2.046
2019-12-05,24.5,2744000,5354000,1.951
2019-12-06,24.7,2834500,4825000,1.702
2019-12-09,24.4,2744000,5004000,1.824
2019-12-10,24.98,2744000,5103000,1.86
2019-12-12,24.62,2744000,6226500,2.269
2019-12-13,25.33,2840000,4827000,1.7
2019-12-16,24.21,3013000,5333000,1.77
2020-01-07,24.06,2717500,4118000,1.515
2020-01-09,24.01,2717500,5076000,1.868
2020-01-10,24.48,2363000,4342500,1.838
2020-01-13,24.03,2717500,6021000,2.216
2020-01-14,23.74,2717500,5334500,1.963
2020-01-15,24.2,5332000,9376500,1.759
2020-01-16,24.85,2717500,5649500,2.079
2020-01-17,25.01,2363000,5888000,2.492
2020-01-20,25.6,2717500,4293000,1.58
2020-01-21,25.1,2717500,4855500,1.787
2020-01-23,24.65,2717500,5051000,1.859
2020-01-24,24.48,2363000,4684500,1.982
2020-01-27,24.04,2717500,5558000,2.045
2020-01-28,24.55,2717500,5561000,2.046
2020-01-29,24.04,5332000,6415000,1.203
2020-01-30,23.74,2717500,5634000,2.073
2020-01-31,23.48,2363000,4686500,1.983
2020-02-03,23.2,2717500,5513500,2.029
2020-02-04,23.33,2717500,6468500,2.38
2020-02-06,23.4,2717500,5482000,2.017
2020-02-07,23.17,2363000,5347500,2.263
2020-02-10,22.91,2717500,7666000,2.821
2020-02-11,23.15,2717500,6105000,2.247
2020-02-12,23.35,5332000,12899500,2.419
2020-02-13,23.52,2717500,6832000,2.514
2020-02-14,24.27,2363000,5701000,2.413
2020-02-17,24.11,2717500,5271500,1.94
2020-02-18,24.8,2717500,5079000,1.869
2020-02-20,25.5,2717500,5093000,1.874
2020-02-21,25.15,2363000,4871500,2.062
2020-02-24,24.64,2717500,5767000,2.122
2020-02-25,24.32,2717500,5823500,2.143
2020-02-26,23.85,5332000,11155000,2.092
2020-02-27,23.8,2717500,6292500,2.316
2020-02-28,23.46,2363000,6251500,2.646
2020-03-02,23.96,2717500,4905000,1.805
2020-03-03,23.26,2717500,5510000,2.028
2020-03-05,23.9,2717500,5119000,1.884
2020-03-06,23.36,2363000,4918000,2.081
2020-03-09,22.65,2717500,5610500,2.065
2020-03-10,23.76,2717500,5917000,2.177
2020-03-11,23.63,5332000,10783000,2.022
2020-03-12,22.85,2717500,8527000,3.138
2020-03-13,22.78,2363000,5448500,2.306
2020-03-16,20.64,2717500,6448000,2.373
2020-03-19,16.03,3396500,5882500,1.732
2020-03-20,16.35,2363000,4469500,1.891
2020-03-23,14.6,3396500,6436500,1.895
2020-03-24,16.25,3396500,5893000,1.735
2020-03-25,16.95,5332000,6140500,1.152
2020-03-26,16.3,3398000,5515000,1.623
2020-03-27,16.55,2363000,5144000,2.177
2020-03-30,16.32,2717500,4768000,1.755
2020-03-31,17.4,2717500,4558000,1.677
2020-04-02,17.52,2717500,5374500,1.978
2020-04-03,17.9,2363000,4096000,1.733
2020-04-06,18.36,2717500,4228000,1.556
2020-04-07,21.11,2717500,5819000,2.141
2020-04-08,20.07,5332000,8065000,1.513
2020-04-09,21.4,2717500,4061000,1.494
2020-04-14,20.17,2717500,4109500,1.512
2020-04-16,20.1,2717500,5001500,1.84
2020-04-17,21.87,2363000,4634500,1.961
2020-04-20,21.24,2717000,4870000,1.792
2020-04-21,20.4,2717000,5784500,2.129
2020-04-22,19.75,5332000,8568500,1.607
2020-04-23,20.24,2717000,4976000,1.831
2020-04-24,20.49,2363000,4293000,1.817
2020-04-27,20.4,2717000,5275000,1.941
2020-04-28,19.99,2717000,5686000,2.093
2020-04-30,19.97,2717000,4775000,1.757
2020-05-05,19.01,2717000,2742500,1.009
2020-05-06,18.85,5332000,8747000,1.64
2020-05-07,19.0,2717000,4372500,1.609
2020-05-08,19.38,2363000,4814500,2.037
2020-05-11,18.81,2717000,3664500,1.349
2020-05-12,18.72,2717000,4205500,1.548
2020-05-14,18.37,2717000,4560000,1.678
2020-05-15,19.02,2363000,3480500,1.473
2020-05-18,19.3,2717000,4627500,1.703
2020-05-19,20.02,2717000,5094500,1.875
2020-05-20,20.11,5332000,7645000,1.434
2020-05-26,21.45,2717000,4861000,1.789
2020-05-28,20.95,2717000,5482000,2.018
2020-05-29,21.7,2363000,4316500,1.827
2020-06-02,21.15,2717000,5109000,1.88
2020-06-03,21.98,5332000,7348500,1.378
2020-06-04,21.77,2717000,4219000,1.553
2020-06-05,22.5,2363000,4494000,1.902
2020-06-08,22.66,2717000,3659500,1.347
2020-06-09,22.3,2717000,4419000,1.626
2020-06-11,22.2,2717000,5322000,1.959
2020-06-12,22.15,2363000,5034000,2.13
2020-06-15,21.8,2717000,4753000,1.749
2020-06-16,22.87,2717000,4618000,1.7
2020-06-17,22.81,5332000,7332000,1.375
2020-06-18,23.63,2717000,4576000,1.684
2020-06-19,24.18,2363000,3736500,1.581
2020-06-22,24.15,2717000,4555000,1.676
2020-06-23,24.85,2717000,3337000,1.228
2020-06-25,25.15,2717000,5385000,1.982
2020-06-26,24.9,2363000,2750500,1.164
2020-06-29,24.74,2717000,4761000,1.752
2020-06-30,25.99,2717000,4550000,1.675
2020-07-01,26.88,5332000,9905000,1.858
